id,name,gender,born,died,species,height,weight,hair_color,eye_color,skin_color,blood_status,marital_status,nationality,animagus,boggart,house,patronus,alias_names,jobs,titles,family_members,romances,wands,image,wiki
ca5f7c97-3720-4732-bd76-acf238c479b6,Pansy Parkinson's gang,,,,,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Pansy_Parkinson's_gang
8c04676e-78ef-4505-a77e-2a8499adf597,Hebridean Black at the Magical Creatures Reserve,,,,Hebridean Black,,,,Purple,Grey,,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/7/76/HebrideanBlackHM.png,https://harrypotter.fandom.com/wiki/Hebridean_Black_at_the_Magical_Creatures_Reserve
0d4e87e7-a8fa-429a-9089-39d2387a3ee9,João Coelho,Male,"Before 1999, South America",,Human,,,,,,,,Peruvian or Brazilian (Possibly),,,,,,['Captain for the Tarapoto Tree-Skimmers'],['Quidditch Captain'],,,,,https://harrypotter.fandom.com/wiki/João_Coelho
64ef696e-e8b4-4862-8e8e-de0a9f838678,Jeremy Clarkson,Male,,,Human,,,,,,Muggle,,,,,,,,['Host of Top Gear (2002 - 2015)'],,,,,,https://harrypotter.fandom.com/wiki/Jeremy_Clarkson
8ed46a34-a10c-472a-9e85-dfc8d0291ed9,Unidentified Snatcher,Male,,"2 May, 1998",Human,,,Reddish,,Light,Pure-blood or half-Blood,,,,,,,,['Snatcher'],,,,,https://static.wikia.nocookie.net/harrypotter/images/6/6c/Snatchers_in_Diagon_Alley.jpg,https://harrypotter.fandom.com/wiki/Unidentified_male_Snatcher_at_Diagon_Alley
40549f7d-b9c0-469f-890c-910420a52e0c,Gideon Scalby,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Slytherin,,,,,,,,,https://harrypotter.fandom.com/wiki/Gideon_Scalby
45cb012d-a58f-42da-912e-26f3e299dbdb,Violetta Black (née Bulstrode),Female,,c. 1920 or later,Human,,,,,,Pure-blood,Married,,,,,,,,,"['Cygnus Black II (husband) †', 'Pollux Black (son) †', 'Cassiopeia Black (daughter) †', 'Marius Black (son)', 'Dorea Potter (née Black) (daughter) †', 'Phineas Nigellus Black (father-in-law) †', 'Ursula Black (née Flint) (mother-in-law)', 'Sirius Black II (brother-in-law) †', 'Phineas Black (brother-in-law) †', 'Arcturus Black II (brother-in-law) †', 'Belvina Black (sister-in-law) †', 'Hesper Gamp (sister-in-law) †', 'Lysandra Yaxley (sister-in-law) †', 'Herbert Burke (brother-in-law) †', 'Arcturus Black III (nephew) †', 'Lycoris Black (niece) †', 'Regulus Black (nephew) †', 'Callidora Black (niece) †', 'Cedrella Black (niece) †', 'Charis Black (niece) †', ""Belvina Burke's sons (nephews)"", ""Belvina Burke's daughter (niece)"", 'Irma Black (née Crabbe) (daughter-in-law)', 'Charlus Potter (son-in-law) †', 'Walburga Black (granddaughter) †', 'Alphard Black (grandson) †', 'Cygnus Black III (grandson) †', ""Charlus's son (grandson)"", 'Millicent Bulstrode (possible relative)', 'Bulstrode family', 'House of Black']",['Cygnus Black II (husband)'],,https://static.wikia.nocookie.net/harrypotter/images/e/e2/FamilyTree.jpg,https://harrypotter.fandom.com/wiki/Violetta_Bulstrode
cead8834-2eca-463f-87e5-15488c7e53d3,Enid Smeek,Female,,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Enid_Smeek
57df161f-3878-4a3e-9a93-a5e2f5413920,Alastair,Male,Pre 1991,,Spider,,,Brown or black,Black,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Alastair
1e564844-7f1f-416c-a60a-53206c6b85f2,Gideon Crumb,Male,1975,,Human,,,Brown,,Light,,,British,,,,,,['Bagpipe and Keyboard player for The Weird Sisters'],,,,,https://static.wikia.nocookie.net/harrypotter/images/1/18/Gideon_Crumb_GOFF.jpg,https://harrypotter.fandom.com/wiki/Gideon_Crumb
7b9c83e3-d11b-459d-b3f0-ff9a7e8e6576,Margaret Ettington,Female,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Ravenclaw,,,,,,,,,https://harrypotter.fandom.com/wiki/Margaret_Ettington
d8e82033-5787-4091-a08e-e9c5da619a19,Sebastian Daley,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Slytherin,,,,,,,,,https://harrypotter.fandom.com/wiki/Sebastian_Daley
f413b128-3930-4e06-ba4f-7cc220240bed,Hannah Abbott,Female,Between 1 September 1979 and 31 August 1980,,Human,,,Blonde,,Light,Half-blood,Married,British or Irish,,Lord Voldemort,Hufflepuff,Non-corporeal,,"['Landlady of the Leaky Cauldron (c.1998-2014)', 'Healer (2014-?)']","['Prefect', 'Charms Tutor']","['Mrs Abbott (mother) †', 'Neville Longbottom (husband)', 'Alice Longbottom (mother-in-law)', 'Frank Longbottom (father-in-law)', 'Augusta Longbottom (paternal grandmother-in-law)', 'Longbottom family (in-laws)', 'Abbott (possible relative) †', 'Giffard Abbott (possible relative) †', 'Abbott family']",,,https://static.wikia.nocookie.net/harrypotter/images/b/b7/Harry-potter-goblet-of-fire-hannah.jpg,https://harrypotter.fandom.com/wiki/Hannah_Abbott
dceabfa8-548a-4729-bb20-cd7288a840bf,Unidentified Muggle woman,Female,,,Human,,,White,,Pale,Muggle,,British,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/8/8c/Unidentified_lady_1.jpg,https://harrypotter.fandom.com/wiki/Unidentified_Muggle_woman_(I)
68c0b8e2-c704-49b8-9407-8d371f30e862,Apolline Delacour,Female,France,,Half-Human/Half-Veela,,,Blonde,,,Part-Human (Half-Veela),Married,French,,,,,,,['Madam(e)'],"['Mother', 'Monsieur Delacour (husband)', 'Fleur Delacour (daughter)', 'Gabrielle Delacour (daughter)', 'Bill Weasley (son-in-law)', 'Victoire Weasley (granddaughter)', 'Dominique Weasley (granddaughter)', 'Louis Weasley (grandson)', 'Delacour family', 'Weasley family']",['Monsieur Delacour (husband)'],,https://static.wikia.nocookie.net/harrypotter/images/7/74/Apolline_Delacour.jpg,https://harrypotter.fandom.com/wiki/Apolline_Delacour
1589133e-7f9a-44a2-aa1e-9f0a6384ca2a,Dagbert Pips,Male,Before 1982,,Human,,,,,,,,British,,,,,,['Owner of Pumpkins R Us'],,,,,,https://harrypotter.fandom.com/wiki/Dagbert_Pips
0feb8d40-79cc-42f9-b04e-8c0e68ef0c52,Chroniculus Punnet,Male,,,Human,,,,,,,,,,,,,,"['Historian', 'Author']",,,,,,https://harrypotter.fandom.com/wiki/Chroniculus_Punnet
5b379fe3-c9d6-4622-bf3b-b7e46bd2052c,Dennis Aldermaston's mother,Female,,,Human,,,,,,,,,,,,,,,,['Dennis Aldermaston (son)'],,,,https://harrypotter.fandom.com/wiki/Dennis_Aldermaston's_mother
810f63df-d994-4c69-9a5b-c39141d5ea7a,Yutaka Amano,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Ravenclaw,,,,,,,,,https://harrypotter.fandom.com/wiki/Yutaka_Amano
9b0a395b-cba9-459d-a401-9dd6eace040c,Iola Hitchens (née Black),Female,c. 1850 - 1852,,Human,,,,,,Pure-blood,Married,,,,Slytherin (possibly),,,,,"['Phineas Nigellus Black (brother) †', 'Sirius Black I (brother)', 'Elladora Black (sister)', 'Bob Hitchens (husband)', 'Ursula Flint (sister-in-law)', 'Sirius Black II (nephew)', 'Phineas Black (nephew)', 'Arcturus Black II (nephew)', 'Belvina Black (niece)', 'Cygnus Black II (nephew)', 'House of Black']",,,https://static.wikia.nocookie.net/harrypotter/images/3/3b/Iola_Black_OOTPF.png,https://harrypotter.fandom.com/wiki/Iola_Black
91af6ecf-2498-427b-a105-3f0067e92bed,Isolt Steward (née Sayre),Female,"c. 1603 Ilvermorny Cottage, Coomloughra, County Kerry, Ireland",Post 1703,Human,,,Dark,Dark,Pale,Pure-blood,Married,Irish,,,Horned Serpent,,"['Morrigan (by her father)', 'Elias Story']",['Founder and co-Headmistress of Ilvermorny School of Witchcraft and Wizardry'],['Headmistress'],"['William Sayre (father) †', 'Rionach Sayre (mother) †', 'James Steward (husband) †', 'Chadwick Boot (adoptive son)', 'Webster Boot (adoptive son)', 'Martha Steward II (daughter)', 'Rionach Steward (daughter)', 'Josefina Calderon (adoptive daughter-in-law)', 'Mrs Boot (adoptive daughter-in-law)', ""Martha Steward II's husband (son-in-law)"", 'Gormlaith Gaunt (maternal aunt) †', 'Morrigan (paternal ancestor)', 'Salazar Slytherin (maternal ancestor) †', 'Sayre family', 'House of Gaunt (maternal family)', 'Slytherin family (maternal ancestors)', 'Peverell family (maternal ancestors)', 'Steward family']",,"['Unknown length, snakewood, Basilisk horn (briefly)']",https://static.wikia.nocookie.net/harrypotter/images/e/e5/Isolt_Sayre.png,https://harrypotter.fandom.com/wiki/Isolt_Sayre
f8d1306b-397f-4a9c-86aa-8a8501788035,Mrs Norris,Female,1984 or earlier,,Cat,,,Dust-coloured fur,Yellow and lamp-like,,,,,,,,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/f/f7/Mrs_Norris_PS.png,https://harrypotter.fandom.com/wiki/Mrs_Norris
ded0ed3d-ae1a-4d04-b61c-5e17cdda8f15,Jacob's sibling's cat,,1986 or earlier,,Cat,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Jacob's_sibling's_cat
328d2a53-7c8d-4659-910b-05c59177a43b,Gryffindor Wizard's Chess champion,Male,Between 1 September 1977 and 31 August 1984,,Human,,,Black,Brown,Dark,,,British or Irish,,,Gryffindor,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/1/1e/Gryffindor_Chess_Champion_III.jpg,https://harrypotter.fandom.com/wiki/Gryffindor_Wizard's_Chess_champion_(III)
8ec37964-5afe-48f1-a994-f5f82ec0d219,Lady Wimborne,Female,In or before 1892,,Human,,,,,,Muggle-born or Half-blood (possibly),,,,,,,,"[""President of the Witches' League""]","['Lady', 'President']",,,,,https://harrypotter.fandom.com/wiki/Lady_Wimborne
cfbd73ff-9ab1-4b07-8330-8016abca43ca,Edgar Stroulger,Male,1703,1798 (aged 94-95),Human,,,"Grey, formerly brown",Blue,White,,,,,,,,,['Inventor'],,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5b/Edgar_Stroulger.jpg,https://harrypotter.fandom.com/wiki/Edgar_Stroulger
82824381-5143-4e7f-bd34-c9d9824afe55,Unidentified dustman,Male,,,Human,,,,,,Muggle,,,,,,,,['Dustman'],,,,,,https://harrypotter.fandom.com/wiki/Unidentified_dustman
b9e44b7e-543d-46c8-a08d-8f449ab42235,Edith,Female,Before 1932,,Human,,,,,,,,German,,,,,,['German Ministry of Magic employee'],,,,,https://static.wikia.nocookie.net/harrypotter/images/1/10/Edith1.png,https://harrypotter.fandom.com/wiki/Edith
d4740184-1e76-40e1-bbb2-a5163c9cf325,Sue Li,Female,between 1 September 1979 and 31 August 1980,,Human,,,,,,Half-blood,,British or Irish,,,Ravenclaw,,,,,,,,,https://harrypotter.fandom.com/wiki/Sue_Li
f4d91ee9-3654-419b-aadd-4ceceb79600c,Morag MacDougal,Female,Between 1 September 1979 and 31 August 1980,,Human,,,,,,Pure-blood,,British or Irish,,,Ravenclaw,,,,,,,,,https://harrypotter.fandom.com/wiki/Morag_MacDougal
62fcde69-b0a7-4d0a-8985-802935f27bcb,Benedita Dourado,Female,"Year unknown, South America",,Human,,,,,,,,,,,,,,['Headmistress of Castelobruxo (c.\xa01940s/50s)'],['Headmistress'],,,,,https://harrypotter.fandom.com/wiki/Benedita_Dourado
464b95f1-c3e0-4cbf-abe5-d8cdd99c7fc1,Kevin Sterndale,Male,Between 1975 and 1978,,Human,,,,,,,,British or Irish,,,,,,,['Prefect'],,,,,https://harrypotter.fandom.com/wiki/Kevin_Sterndale
1b314a02-a07c-4aa3-bb6b-1da371ad01c4,Barker,,,,Human,,,,,,,,,,,,,,['Broom-maker'],,,,,,https://harrypotter.fandom.com/wiki/Barker_(wizard)
490a13f4-0b6c-4463-afbf-d58685888ded,Bertie Bott,Male,"1935, Great Britain",,Human,,,White,,White,,,British,,,,,,['Confectioner'],,,,,https://static.wikia.nocookie.net/harrypotter/images/b/bd/BertieBott.png,https://harrypotter.fandom.com/wiki/Bertie_Bott
91d97da8-3d26-4217-839f-3f64211d0c4e,Thomas Paley,Male,31 August 1982 or earlier,,Human,,,,,,,,British or Irish,,,Gryffindor,,,,,,,,,https://harrypotter.fandom.com/wiki/Thomas_Paley
716a1740-6a3d-41c5-b038-7a073cc097c2,Unidentified friend of McClaggan,Male,31 August 1916 or earlier,,Human,,,,,,,,British or Irish,,,Gryffindor,,,,,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a1/McClaggan%27s_Friend.jpg,https://harrypotter.fandom.com/wiki/Unidentified_friend_of_McClaggan
1182b12a-dfd7-437c-9794-0f2f63650146,Thornton Harkaway,Male,Pre 1760,,Human,,,,,,,,American,,,,,,['President of the Magical Congress of the United States of America'],['President'],,,,,https://harrypotter.fandom.com/wiki/Thornton_Harkaway
28f91692-65f0-48c2-bb86-09f5b68cb595,Hamish Steed,Male,,Unknown time,Human,,,,,,,,British,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Hamish_Steed
f9de1a1c-336e-4b8d-9e4d-a4b2370ca0bc,Mary Cattermole's mother,Female,,,Human,,,,,,Muggle,Married,,,,,,,['Greengrocer'],,"['Husband', 'Mary Cattermole (daughter)', 'Reginald Cattermole (son-in-law)', 'Maisie Cattermole (granddaughter)', 'Ellie Cattermole (granddaughter)', 'Alfred Cattermole (grandson)']",,,,https://harrypotter.fandom.com/wiki/Mary_Cattermole's_mother
3fb3c31f-6737-462c-b8df-ad57e7dbc1f6,Toad Toazer,,year unknown,,Human,,,,,,,,British or Irish,,,Gryffindor,,,,,,,,,https://harrypotter.fandom.com/wiki/Toad_Toazer
7e391822-9acf-48e2-af4d-723f1947bbf1,Captain of the Brigade of Witch-Hunters,Male,,,Human,,,,,,Muggle,,,,,,,,['Captain of the Brigade of Witch-Hunters'],['Captain'],,,,,https://harrypotter.fandom.com/wiki/Captain_of_the_Brigade_of_Witch-Hunters
aea74bc3-8aff-463a-bc9f-b779eadfdc9a,Helmut Weiss,Male,,,Human,,,,,,,,American,,,,,,['Auror'],,"['Konrad Weiss (possibly)', 'Weiss family']",,,,https://harrypotter.fandom.com/wiki/Helmut_Weiss
bf77d78c-013b-4e37-83a5-040fdccbea57,Winky Crockett,,c. 1920s-1930s,,Human,,,,,,,,British or Irish,,,Slytherin,,,,['Quidditch Captain'],"['Winky Crockett (Gryffindor) (possibly)', 'Winky Crockett (Elbow Grease) (possibly)']",,,https://static.wikia.nocookie.net/harrypotter/images/f/f2/Slytherin_House_Captain%27s_Plaque.jpg,https://harrypotter.fandom.com/wiki/Winky_Crockett_(Slytherin)
5d5310ac-9d97-49d8-969f-190daa698550,Dimitar Draganov,Male,After 1976,,Human,,,,,,,,Bulgarian,,,,,,['Beater for the Bulgarian National Quidditch team'],['Beater'],,,,,https://harrypotter.fandom.com/wiki/Dimitar_Draganov
0719622f-d7bc-4012-8e3e-e2eb81a56c94,Leopoldina Smethwyck,Female,1829,1910 (aged 80 - 81),Human,,,Brown,,White,,,British,,,,,,['Quidditch referee'],,"['Elliot Smethwyck (possibly)', 'Hippocrates Smethwyck (possibly)']",,,https://static.wikia.nocookie.net/harrypotter/images/0/08/Leopoldina_Smethwyck.jpg,https://harrypotter.fandom.com/wiki/Leopoldina_Smethwyck
28403630-3d67-4fcc-971d-60f057048f5f,Brian Gagwilde,Male,,Before 1991 (possibly),Human,,,Brown,,White,Pure-blood (possibly),,,,,,,,,,['Brian Gagwilde (ancestor)'],,,https://static.wikia.nocookie.net/harrypotter/images/f/f5/Brian_Gagwilde.jpg,https://harrypotter.fandom.com/wiki/Brian_Gagwilde_III
9e3a384c-5b73-416c-baed-e86ac9fd406a,Bennett Burgess,Male,,,Human,,,,,,,,,,,,,,,,,,,,https://harrypotter.fandom.com/wiki/Bennett_Burgess
